142098:132809:365143.00:-232334.00
163354:123967:352670.00:-228703.00
163191:127927:347070.00:-219143.00
163200:121508:336947.00:-215439.00
163171:120550:335100.00:-214550.00
162084:152418:365592.00:-213174.00
163074:127253:338290.00:-211037.00
163230:129081:340019.00:-210938.00
161460:129629:339685.00:-210056.00
163314:124800:330961.00:-206161.00
115694:3293605:297834.00:2995771.00
115891:3285682:286262.00:2999420.00
115688:3248593:246422.00:3002171.00
127406:3262190:253879.00:3008311.00
127181:3257330:245482.00:3011848.00
127101:3268087:254312.00:3013775.00
115686:3258463:236031.00:3022432.00
115816:3278612:255581.00:3023031.00
115863:3236128:211367.00:3024761.00
115875:3270234:241924.00:3028310.00
